comuna_code,comuna,barrio_code,barrio_population_name,population_2026,polygon_barrio_name,match_method,imcv_ampi_2023
07,Robledo,0705,Facultad de Minas U. Nacional,866,UNIVERSIDAD NACIONAL FACULTAD DE MINAS,explicit_alias,99.75
07,Robledo,0706,La Pilarica,7394,LA PILARICA,exact,99.75
07,Robledo,0707,Bosques de San Pablo,2251,BOSQUES DE SAN PABLO,exact,99.75
07,Robledo,0708,Altamira,11769,ALTAMIRA,exact,99.75
07,Robledo,0709,Córdoba,9553,CÓRDOBA,exact,99.75
07,Robledo,0710,López de  Mesa,4694,LUIS LÓPEZ DE MESA,explicit_alias,99.75
07,Robledo,0711,El Diamante,17244,EL DIAMANTE,exact,99.75
07,Robledo,0712,Aures No.2,24615,AURES #2,exact,99.75
07,Robledo,0713,Aures No.1,21463,AURES #1,exact,99.75
07,Robledo,0714,Bello Horizonte,7615,BELLO HORIZONTE,exact,99.75
07,Robledo,0715,Villa Flora,6053,VILLA FLORA,exact,99.75
07,Robledo,0716,Palenque,7995,PALENQUE,exact,99.75
07,Robledo,0717,Robledo,5380,ROBLEDO,exact,99.75
07,Robledo,0718,Cucaracho,13847,EL CUCARACHO,explicit_alias,99.75
07,Robledo,0719,Fuente Clara,2277,FUENTE CLARA,exact,99.75
07,Robledo,0720,Santa Margarita,9813,SANTA MARGARITA,exact,99.75
07,Robledo,0722,Olaya Herrera,9666,OLAYA HERRERA,exact,99.75
07,Robledo,0723,Pajarito,6067,PAJARITO,exact,99.75
07,Robledo,0724,Monteclaro,13799,MONTECLARO,exact,99.75
07,Robledo,0725,Nueva Villa de La Iguaná,2374,,intentionally_unmatched,99.75
08,Villa Hermosa,0801,Villa Hermosa,10969,VILLA HERMOSA,exact,92.38
08,Villa Hermosa,0802,La Mansión,10027,LA MANSION,exact,92.38
08,Villa Hermosa,0803,San Miguel,10162,SAN MIGUEL,exact,92.38
08,Villa Hermosa,0804,La Ladera,2380,LA LADERA,exact,92.38
08,Villa Hermosa,0805,Batallón Girardot,432,BATALLON GIRARDOT,exact,92.38
08,Villa Hermosa,0806,Llanaditas,10416,LLANADITAS No.2,explicit_alias,92.38
08,Villa Hermosa,0807,Los Mangos,18439,LOS MANGOS,exact,92.38
08,Villa Hermosa,0808,Enciso,12640,ENCISO,exact,92.38
08,Villa Hermosa,0809,Sucre,6159,SUCRE,exact,92.38
08,Villa Hermosa,0810,El Pinal,17546,EL PINAL,exact,92.38
08,Villa Hermosa,0811,Trece de Noviembre,9155,15 DE NOVIEMBRE,explicit_alias,92.38
08,Villa Hermosa,0812,La Libertad,10654,LA LIBERTAD,exact,92.38
08,Villa Hermosa,0813,Villatina,14743,VILLATINA,exact,92.38
08,Villa Hermosa,0814,San Antonio,4601,SAN ANTONIO,exact,92.38
08,Villa Hermosa,0815,Las Estancias,9771,LAS  ESTANCIAS,exact,92.38
08,Villa Hermosa,0816,Villa Turbay,3833,VILLA TURBAY,exact,92.38
08,Villa Hermosa,0817,La Sierra,2505,LA SIERRA,exact,92.38
08,Villa Hermosa,0819,Villa Lilliam,4885,VILLA LILIAM,explicit_alias,92.38
09,Buenos Aires,0901,Juan Pablo II,2696,JUAN PABLO,explicit_alias,101.5
09,Buenos Aires,0902,Barrios de Jesús,12979,BARRIOS DE JESUS,exact,101.5
09,Buenos Aires,0903,Bomboná No.2,19937,BOMBONA No.2,exact,101.5
09,Buenos Aires,0904,Los Cerros El Vergel,8689,LOS CERROS EL VERGEL,exact,101.5
09,Buenos Aires,0905,Alejandro Echavarría,7751,ALEJANDRO ECHAVARRIA,exact,101.5
09,Buenos Aires,0906,Barrio Caicedo,5594,CAYCEDO,explicit_alias,101.5
09,Buenos Aires,0907,Buenos Aires,8137,BUENOS AIRES,exact,101.5
09,Buenos Aires,0908,Miraflores,7909,MIRAFLORES,exact,101.5
09,Buenos Aires,0909,Cataluña,11740,CATALUÑA,exact,101.5
09,Buenos Aires,0910,La Milagrosa,6344,LA MILAGROSA,exact,101.5
09,Buenos Aires,0911,Gerona,9455,GERONA,exact,101.5
09,Buenos Aires,0912,El Salvador,14667,EL SALVADOR,exact,101.5
09,Buenos Aires,0913,Loreto,31263,LORETO,exact,101.5
09,Buenos Aires,0914,Asomadera No.1,13076,LA ASOMADERA No.1,explicit_alias,101.5
09,Buenos Aires,0915,Asomadera No.2,1210,LA ASOMADERA No.2,explicit_alias,101.5
09,Buenos Aires,0916,Asomadera No.3,153,LA ASOMADERA No.3,explicit_alias,101.5
09,Buenos Aires,0917,Ocho de Marzo,1907,8 DE MARZO,explicit_alias,101.5
10,La Candelaria,1001,Prado,9415,PRADO,exact,102.65
10,La Candelaria,1003,Jesús Nazareno,2148,JESUS NAZARENO,exact,102.65
10,La Candelaria,1004,El Chagualo,6580,EL CHAGUALO,exact,102.65
10,La Candelaria,1005,Estación Villa,664,ESTACION VILLA,exact,102.65
10,La Candelaria,1006,San Benito,652,SAN BENITO,exact,102.65
10,La Candelaria,1007,Guayaquil,760,GUAYAQUIL,exact,102.65
10,La Candelaria,1008,Corazón de Jesús,2659,CORAZON DEJESUS,explicit_alias,102.65
10,La Candelaria,1011,Calle Nueva,284,CALLE NUEVA,exact,102.65
10,La Candelaria,1012,Perpetuo Socorro,77,PERPETUO SOCORRO,exact,102.65
10,La Candelaria,1013,Barrio Colón,3092,COLON,explicit_alias,102.65
10,La Candelaria,1014,Las Palmas,8854,LAS PALMAS,exact,102.65
10,La Candelaria,1015,Bomboná No.1,7402,BOMBONA No.1,exact,102.65
10,La Candelaria,1016,Boston,15220,BOSTON,exact,102.65
10,La Candelaria,1017,Los Ángeles,6597,LOS ANGELES,exact,102.65
10,La Candelaria,1018,Villa Nueva,4628,VILLA NUEVA,exact,102.65
10,La Candelaria,1019,La Candelaria,3414,LA CANDELARIA,exact,102.65
10,La Candelaria,1020,San Diego,8715,SAN DIEGO,exact,102.65
11,Laureles Estadio,1101,Carlos E. Restrepo,3119,CARLOS E. RESTREPO,exact,117.75
11,Laureles Estadio,1102,Suramericana,3980,SURAMERICANA,exact,117.75
11,Laureles Estadio,1103,Naranjal,2000,NARANJAL,exact,117.75
11,Laureles Estadio,1104,San Joaquín,7168,SAN JOAQUÍN,exact,117.75
11,Laureles Estadio,1105,Los Conquistadores,9962,CONQUISTADORES,explicit_alias,117.75
11,Laureles Estadio,1107,Bolivariana,3925,BOLIVARIANA,exact,117.75
11,Laureles Estadio,1108,Laureles,15329,LAURELES,exact,117.75
11,Laureles Estadio,1109,Las Acacias,5861,LAS ACACIAS,exact,117.75
11,Laureles Estadio,1110,La Castellana,12811,LA CASTELLANA,exact,117.75
11,Laureles Estadio,1111,Lorena,9272,LORENA,exact,117.75
11,Laureles Estadio,1112,El Velódromo,5332,EL VELODROMO,exact,117.75
11,Laureles Estadio,1113,Estadio,4861,ESTADIO,exact,117.75
11,Laureles Estadio,1114,Los Colores,13806,LOS COLORES,exact,117.75
11,Laureles Estadio,1115,Cuarta Brigada,5130,CUARTA BRIGADA,exact,117.75
11,Laureles Estadio,1117,Florida Nueva,5765,FLORIDA NUEVA,exact,117.75
12,La América,1201,Ferrini,5141,FERRINI,exact,105.69
12,La América,1202,Calasanz,4583,CALASANZ,exact,105.69
12,La América,1203,Los Pinos,3302,LOS PINOS,exact,105.69
12,La América,1204,La América,9861,LA AMÉRICA,exact,105.69
12,La América,1205,La Floresta,10734,FLORESTA,explicit_alias,105.69
12,La América,1206,Santa Lucía,6102,SANTA LUCIA,exact,105.69
12,La América,1207,El Danubio,6021,EL DANUBIO,exact,105.69
12,La América,1208,Campo Alegre,6359,CAMPO ALEGRE,exact,105.69
12,La América,1209,Santa Mónica,7713,SANTA MÓNICA,exact,105.69
12,La América,1210,Barrio Cristóbal,7341,BARRIO CRISTOBAL,exact,105.69
12,La América,1211,Simón Bolívar,5335,SIMÓN BOLIVAR,exact,105.69
12,La América,1212,Santa Teresita,7692,SANTA TERESITA,exact,105.69
12,La América,1213,Calasanz Parte Alta,12194,CALASANZ PA.,explicit_alias,105.69
13,San Javier,1301,El Pesebre,8628,EL PESEBRE,exact,93.89
13,San Javier,1302,Blanquizal,12661,BLANQUIZAL,exact,93.89
13,San Javier,1303,Santa Rosa de Lima,3831,SANTA ROSA DE LIMA,exact,93.89
13,San Javier,1304,Los Alcázares,7518,LOS ALCAZARES,exact,93.89
13,San Javier,1305,Metropolitano,3486,METROPOLITANO,exact,93.89
13,San Javier,1306,La Pradera,13073,LA PRADERA,exact,93.89
13,San Javier,1307,Juan XXIII La Quiebra,13401,JUAN XXIII - LA QUIEBRA,exact,93.89
13,San Javier,1308,San Javier No.2,4073,SAN JAVIER #2,exact,93.89
13,San Javier,1309,San Javier No.1,4714,SAN JAVIER #1,exact,93.89
13,San Javier,1310,Veinte de Julio,12059,20 DE JULIO,explicit_alias,93.89
13,San Javier,1311,Belencito,4295,BELENCITO,exact,93.89
13,San Javier,1312,Betania,5242,BETANIA,exact,93.89
13,San Javier,1313,El Corazón,4387,EL CORAZÓN,exact,93.89
13,San Javier,1314,Las Independencias,13185,LA INDEPENDENCIA,explicit_alias,93.89
13,San Javier,1315,Nuevos Conquistadores,8758,NUEVOS CONQUISTADORES,exact,93.89
13,San Javier,1316,El Salado,16268,EL SALADO,exact,93.89
13,San Javier,1317,Eduardo Santos,4540,EDUARDO SANTOS,exact,93.89
13,San Javier,1318,Antonio Nariño,14879,ANTONIO NARIÑO,exact,93.89
13,San Javier,1319,El Socorro,9586,EL SOCORRO,exact,93.89
14,El Poblado,1401,Barrio Colombia,188,COLOMBIA,explicit_alias,116.59
14,El Poblado,1403,Villa Carlota,5096,VILLA CARLOTA,exact,116.59
14,El Poblado,1404,Castropol,10554,CASTROPOL,exact,116.59
14,El Poblado,1405,Lalinde,2832,LALINDE,exact,116.59
14,El Poblado,1406,Las Lomas No.1,3064,LAS LOMAS No.1,exact,116.59
14,El Poblado,1407,Las Lomas No.2,2719,LAS LOMAS No.2,exact,116.59
14,El Poblado,1408,Altos del Poblado,4187,ALTOS DEL POBLADO,exact,116.59
14,El Poblado,1409,El Tesoro,11032,ELTESORO,explicit_alias,116.59
14,El Poblado,1410,Los Naranjos,6734,LOS NARANJOS,exact,116.59
14,El Poblado,1411,Los Balsos No.1,11036,LOS BALSOS No.1,exact,116.59
14,El Poblado,1412,San Lucas,9473,SANLUCAS,explicit_alias,116.59
14,El Poblado,1413,El Diamante No.2,7571,EL DIAMANTE No.2,exact,116.59
14,El Poblado,1414,El Castillo,2150,EL CASTILLO,exact,116.59
14,El Poblado,1415,Los Balsos No.2,6946,LOS BALSOS No.2,exact,116.59
14,El Poblado,1416,Alejandría,5503,ALEJANDRIA,exact,116.59
14,El Poblado,1417,La Florida,9441,LA FLORIDA,exact,116.59
14,El Poblado,1418,El Poblado,389,EL POBLADO,exact,116.59
14,El Poblado,1419,Manila,775,MANILA,exact,116.59
14,El Poblado,1420,Astorga,619,ASTORGA,exact,116.59
14,El Poblado,1421,Patio Bonito,6366,PATIO BONITO,exact,116.59
14,El Poblado,1422,La Aguacatala,2249,LA AGUACATALA,exact,116.59
14,El Poblado,1423,Santa María de Los Ángeles,7521,SANTA MARIA DE LOS ANGELES,exact,116.59
15,Guayabal,1502,Tenche,29,TENCHE,exact,98.33
15,Guayabal,1503,Trinidad,11396,TRINIDAD,exact,98.33
15,Guayabal,1504,Santa Fé,8528,SANTA FE,exact,98.33
