BARRIO,barrio_code,comuna_name,population_2026,hazard_weighted_population_proxy_2026,imcv_ampi_2023,priority_exposure,rank_exposure,priority_balanced,rank_balanced,priority_equity,rank_equity,rank_hazard_only
LA SIERRA,0817,Villa Hermosa,2505.0,1869.4082737173253,92.38,0.7742791728735766,40.0,0.7718636894803783,41.0,0.7699313027658199,41.0,17
ENCISO,0808,Villa Hermosa,12640.0,1718.66097047985,92.38,0.7656432412428279,41.0,0.7653867407573168,42.0,0.765181540368908,42.0,50
SAN ISIDRO,0402,Aranjuez,19084.0,2296.077868981467,95.6,0.7953969834763304,35.0,0.7634404440569162,43.0,0.737875212521385,48.0,52
PABLO VI,0203,Santa Cruz,5289.0,1062.753123947288,89.42,0.7162791483080436,48.0,0.7506662629790737,44.0,0.7781759547158977,40.0,45
EL POMAR,0306,Manrique,4002.0,973.7893186923269,90.05,0.7073032782170132,49.0,0.7391875249677629,45.0,0.7646949223683628,43.0,41
MANRIQUE ORIENTAL,0308,Manrique,14111.0,821.4526641300884,90.05,0.6898390981192402,51.0,0.7260893898944332,46.0,0.7550896233145875,44.0,63
CAMPO VALDES No.2,0303,Manrique,18685.0,793.0017881077328,90.05,0.6862209690696324,54.0,0.7233757931072273,47.0,0.7530996523373032,45.0,66
LAS ESMERALDAS,0411,Aranjuez,8405.0,1265.3746703146187,95.6,0.7341980409215693,47.0,0.7175412371408454,48.0,0.7042157941162663,54.0,48
VILLA NIZA,0208,Santa Cruz,7475.0,677.9290596193673,89.42,0.670129970271366,56.0,0.7160543794515655,49.0,0.752793906795725,46.0,53
VILLA HERMOSA,0801,Villa Hermosa,10969.0,815.841656282687,92.38,0.689135551845629,53.0,0.7080059737094176,50.0,0.7231023112004487,49.0,62
LA LADERA,0804,Villa Hermosa,2380.0,721.7371652169744,92.38,0.6765562313374046,55.0,0.6985714833282494,51.0,0.7161836849209252,51.0,39
SANTA CRUZ,0210,Santa Cruz,15876.0,532.9481800660272,89.42,0.6454421747703178,60.0,0.6975385328257793,52.0,0.7392156192701486,47.0,70
BOMBONA No.2,0903,Buenos Aires,19937.0,1648.2884739205901,101.5,0.7613490768024013,42.0,0.6934500233944471,53.0,0.6391307806680838,63.0,55
JUAN PABLO,0901,Buenos Aires,2696.0,1576.306228647285,101.5,0.7567628020798994,45.0,0.6900103173525707,54.0,0.6366083295707078,64.0,20
LA MANSION,0802,Villa Hermosa,10027.0,635.3565415434091,92.38,0.6634746641776049,57.0,0.6887603079583996,55.0,0.7089888229830354,52.0,61
BRASILIA,0414,Aranjuez,11956.0,819.7838115248691,95.6,0.6896303487879448,52.0,0.6841154680406271,56.0,0.6797035634427729,57.0,60
8 DE MARZO,0917,Buenos Aires,1907.0,1449.6283134524633,101.5,0.7481585123406076,46.0,0.6835571000481019,57.0,0.6318759702140972,65.0,12
MANRIQUE CENTRAL No.2,0307,Manrique,6206.0,446.66883038988124,90.05,0.6273290254759878,62.0,0.6792068354119938,58.0,0.7207090833607988,50.0,56
SUCRE,0809,Villa Hermosa,6159.0,536.4014780209177,92.38,0.646104713620029,59.0,0.6757328450402176,59.0,0.6994353501763686,55.0,54
LA ROSA,0211,Santa Cruz,8873.0,306.92638921768287,89.42,0.5888722671964347,67.0,0.655111102145367,60.0,0.7081021701045128,53.0,68
LA PINUELA,0412,Aranjuez,9218.0,548.8145787033393,95.6,0.6484515905798727,58.0,0.653231399384573,61.0,0.6570552464283332,59.0,64
CATALUÑA,0909,Buenos Aires,11740.0,907.0625755702595,101.5,0.7000158764804589,50.0,0.6474501231529903,62.0,0.6053975204910156,67.0,57
BERLIN,0401,Aranjuez,12527.0,437.6735218765351,95.6,0.625242918854512,63.0,0.6358248955905524,63.0,0.6442904769793849,60.0,67
MIRANDA,0415,Aranjuez,6090.0,413.69062156523273,95.6,0.6194647700812934,64.0,0.6314912840106386,64.0,0.6411124951541147,62.0,59
BATALLON GIRARDOT,0805,Villa Hermosa,432.0,255.99644761872784,92.38,0.5702911489512327,68.0,0.6188726715386204,65.0,0.6577378896085306,58.0,18
ARANJUEZ,0413,Aranjuez,9342.0,321.58726623007925,95.6,0.5936525189668443,66.0,0.6121320956748018,66.0,0.6269157570411676,66.0,71
SAN MIGUEL,0803,Villa Hermosa,10162.0,201.527088852607,92.38,0.5458119034279888,71.0,0.6005132373961874,67.0,0.6442743045707465,61.0,76
LORETO,0913,Buenos Aires,31263.0,478.4100426491943,101.5,0.6343692034569686,61.0,0.5982151183853726,68.0,0.5692918503280958,69.0,74
ALEJANDRO ECHAVARRIA,0905,Buenos Aires,7751.0,369.46500047658117,101.5,0.6078747240451676,65.0,0.5783442588265219,69.0,0.5547198866516052,71.0,65
MANRIQUE CENTRAL No.1,0409,Aranjuez,8779.0,165.43357856850724,95.6,0.5256399845215476,73.0,0.5611226948408292,70.0,0.5895088630962544,68.0,75
LAS BRISAS,0502,Castilla,8597.0,207.0600403078646,98.62,0.5485819358247755,69.0,0.5555744868294014,71.0,0.561168527633102,70.0,72
LA ASOMADERA No.1,0914,Buenos Aires,13076.0,202.00585508186597,101.5,0.5460545670074931,70.0,0.5319791410482659,72.0,0.5207188002808842,74.0,78
HECTOR ABAD GOMEZ,0507,Castilla,3638.0,146.10348263518318,98.62,0.5129516884191074,74.0,0.5288518012751503,73.0,0.5415718915599845,72.0,69
LA ASOMADERA No.2,0915,Buenos Aires,1210.0,182.36750060873416,101.5,0.5355982350449765,72.0,0.5241368920763785,74.0,0.5149678177015002,76.0,47
LOS CERROS EL VERGEL,0904,Buenos Aires,8689.0,135.66270802561908,101.5,0.5053855341410662,75.0,0.5014773663984459,75.0,0.4983508322043495,77.0,77
PALERMO,0403,Aranjuez,5603.0,52.38887467087008,95.6,0.40878824688767945,76.0,0.47348389161542803,76.0,0.525240407397627,73.0,79
GERONA,0911,Buenos Aires,9455.0,46.86939185119262,101.5,0.39757308335130054,77.0,0.42061802830612155,77.0,0.4390539842699784,80.0,81
LA FRONTERA,0204,Santa Cruz,6480.0,9.86657843397056,89.42,0.24518358220401085,81.0,0.3973445884010491,78.0,0.5190733933586797,75.0,83
TOSCANA,0501,Castilla,7418.0,23.02970783569464,98.62,0.3267437576976664,78.0,0.38919585323406947,79.0,0.439157529663192,79.0,80
CAMPO VALDES No.1,0410,Aranjuez,14520.0,15.465634728771596,95.6,0.28789415726497963,79.0,0.3828133243984032,80.0,0.4587486581051421,78.0,84
TRICENTENARIO,0510,Castilla,6988.0,4.84476792506517,98.62,0.18144971463907597,82.0,0.28022532094012664,81.0,0.3592458059809673,81.0,86
PRADO,1001,La Candelaria,9415.0,4.4861941613595056,102.65,0.17494296962057032,83.0,0.2449805846596712,82.0,0.3010106766909519,101.0,85
LA ASOMADERA No.3,0916,Buenos Aires,153.0,3.073244589345524,101.5,0.144337834745096,84.0,0.23069159185146815,83.0,0.2997745975365659,106.0,73
ALTOS DEL POBLADO,1408,El Poblado,4187.0,9.928491898314904,116.59,0.2457674775693318,80.0,0.1930658131197354,84.0,0.1509044815600583,212.0,82
NUEVOS CONQUISTADORES,1315,San Javier,8758.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
BELENCITO,1311,San Javier,4295.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
SAN JAVIER #1,1309,San Javier,4714.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
EL SOCORRO,1319,San Javier,9586.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
LA INDEPENDENCIA,1314,San Javier,13185.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
EDUARDO SANTOS,1317,San Javier,4540.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
EL SALADO,1316,San Javier,16268.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
20 DE JULIO,1310,San Javier,12059.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
ANTONIO NARIÑO,1318,San Javier,14879.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
LA PRADERA,1306,San Javier,13073.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
BLANQUIZAL,1302,San Javier,12661.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
JUAN XXIII - LA QUIEBRA,1307,San Javier,13401.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
LOS ALCAZARES,1304,San Javier,7518.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
SANTA ROSA DE LIMA,1303,San Javier,3831.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
METROPOLITANO,1305,San Javier,3486.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
EL PESEBRE,1301,San Javier,8628.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
SAN JAVIER #2,1308,San Javier,4073.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
BETANIA,1312,San Javier,5242.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
EL CORAZÓN,1313,San Javier,4387.0,0.0,93.89,0.0,85.0,0.1797769740807715,85.0,0.32359855334538873,82.0,87
SEVILLA,0407,Aranjuez,1666.0,0.0,95.6,0.0,85.0,0.16689270644966847,104.0,0.30040687160940327,102.0,87
BERMEJAL-LOS ALAMOS,0404,Aranjuez,10026.0,0.0,95.6,0.0,85.0,0.16689270644966847,104.0,0.30040687160940327,102.0,87
MORAVIA,0405,Aranjuez,27141.0,0.0,95.6,0.0,85.0,0.16689270644966847,104.0,0.30040687160940327,102.0,87
SAN PEDRO,0408,Aranjuez,4493.0,0.0,95.6,0.0,85.0,0.16689270644966847,104.0,0.30040687160940327,102.0,87
TRINIDAD,1503,Guayabal,11396.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
CAMPO AMOR,1507,Guayabal,7431.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
CRISTO REY,1509,Guayabal,14285.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
SANTA FE,1504,Guayabal,8528.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
GUAYABAL,1510,Guayabal,2173.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
LA COLINA,1511,Guayabal,18437.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
TENCHE,1502,Guayabal,29.0,0.0,98.33,0.0,85.0,0.1463230861965039,108.0,0.263381555153707,107.0,87
EL PROGRESO,0519,Castilla,4390.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
CARIBE,0517,Castilla,523.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
FRANCISCO ANTONIO ZEA,0513,Castilla,10179.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
FLORENCIA,0503,Castilla,11797.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
BELALCAZAR,0508,Castilla,6162.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
ALFONSO LÓPEZ,0514,Castilla,14339.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
CASTILLA,0511,Castilla,26562.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
TEJELO,0504,Castilla,12165.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
GIRARDOT,0509,Castilla,12192.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
BOYACA,0505,Castilla,6141.0,0.0,98.62,0.0,85.0,0.1441380349608197,115.0,0.2594484629294755,114.0,87
ALTAMIRA,0708,Robledo,11769.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
BOSQUES DE SAN PABLO,0707,Robledo,2251.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
AURES #1,0713,Robledo,21463.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
EL DIAMANTE,0711,Robledo,17244.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
LA PILARICA,0706,Robledo,7394.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
FUENTE CLARA,0719,Robledo,2277.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
SANTA MARGARITA,0720,Robledo,9813.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
OLAYA HERRERA,0722,Robledo,9666.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
CERRO EL VOLADOR,0702,Robledo,871.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
SAN GERMAN,0703,Robledo,9243.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
UNIVERSIDAD NACIONAL FACULTAD DE MINAS,0705,Robledo,866.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
ROBLEDO,0717,Robledo,5380.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
PAJARITO,0723,Robledo,6067.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
EL CUCARACHO,0718,Robledo,13847.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
PALENQUE,0716,Robledo,7995.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
VILLA FLORA,0715,Robledo,6053.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
BELLO HORIZONTE,0714,Robledo,7615.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
AURES #2,0712,Robledo,24615.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
LUIS LÓPEZ DE MESA,0710,Robledo,4694.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
CÓRDOBA,0709,Robledo,9553.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
MONTECLARO,0724,Robledo,13799.0,0.0,99.75,0.0,85.0,0.13562386980108496,125.0,0.24412296564195293,124.0,87
KENNEDY,0607,Doce de Octubre,30904.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
MIRADOR DEL DOCE,0610,Doce de Octubre,5385.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
DOCE DE OCTUBRE #2,0603,Doce de Octubre,15744.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
PICACHO,0608,Doce de Octubre,21441.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
PICACHITO,0609,Doce de Octubre,4824.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
SANTANDER,0601,Doce de Octubre,14703.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
DOCE DE OCTUBRE #1,0602,Doce de Octubre,15935.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
LA ESPERANZA,0605,Doce de Octubre,25637.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
PROGRESO #2,0611,Doce de Octubre,5965.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
PEDREGAL,0604,Doce de Octubre,22832.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
SAN MARTIN DE PORRES,0606,Doce de Octubre,18362.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
EL TRIUNFO,0612,Doce de Octubre,4830.0,0.0,100.36,0.0,85.0,0.13102772754671488,146.0,0.23584990958408678,145.0,87
BUENOS AIRES,0907,Buenos Aires,8137.0,0.0,101.5,0.0,85.0,0.12243821579264615,158.0,0.22038878842676307,157.0,87
EL SALVADOR,0912,Buenos Aires,14667.0,0.0,101.5,0.0,85.0,0.12243821579264615,158.0,0.22038878842676307,157.0,87
LA MILAGROSA,0910,Buenos Aires,6344.0,0.0,101.5,0.0,85.0,0.12243821579264615,158.0,0.22038878842676307,157.0,87
MIRAFLORES,0908,Buenos Aires,7909.0,0.0,101.5,0.0,85.0,0.12243821579264615,158.0,0.22038878842676307,157.0,87
CAYCEDO,0906,Buenos Aires,5594.0,0.0,101.5,0.0,85.0,0.12243821579264615,158.0,0.22038878842676307,157.0,87
COLON,1013,La Candelaria,3092.0,0.0,102.65,0.0,85.0,0.11377335744424345,163.0,0.20479204339963822,162.0,87
