BARRIO,barrio_code,comuna_name,population_2026,hazard_weighted_population_proxy_2026,imcv_ampi_2023,priority_exposure,rank_exposure,priority_balanced,rank_balanced,priority_equity,rank_equity,rank_hazard_only
LOS ALPES,1615,Belén,6556.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LAS VIOLETAS,1616,Belén,14222.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
MIRAVALLE,1619,Belén,4284.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
BELEN,1603,Belén,9269.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
SAN BERNARDO,1605,Belén,21902.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LAS PLAYAS,1606,Belén,10802.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LA GLORIA,1612,Belén,12992.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
ALTAVISTA,1613,Belén,14235.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LA PALMA,1614,Belén,6091.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LOMA DE LOS BERNAL,1611,Belén,18522.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
DIEGO ECHAVARRÍA,1607,Belén,5896.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LA MOTA,1608,Belén,11106.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LA HONDONADA,1609,Belén,16396.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
FÁTIMA,1601,Belén,8870.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
EL NOGAL  LOS ALMENDROS,1620,Belén,3483.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
ROSALES,1602,Belén,7106.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
CERRO NUTIBARA,1621,Belén,2325.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
EL RINCÓN,1610,Belén,25017.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
LAS MERCEDES,1617,Belén,10797.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
GRANADA,1604,Belén,3688.0,0.0,104.58,0.0,85.0,0.09923146473779385,179.0,0.17861663652802892,178.0,87
FLORESTA,1205,La América,10734.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
CALASANZ PA.,1213,La América,12194.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
CALASANZ,1202,La América,4583.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
FERRINI,1201,La América,5141.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
SIMÓN BOLIVAR,1211,La América,5335.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
SANTA LUCIA,1206,La América,6102.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
LA AMÉRICA,1204,La América,9861.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
LOS PINOS,1203,La América,3302.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
SANTA MÓNICA,1209,La América,7713.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
SANTA TERESITA,1212,La América,7692.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
BARRIO CRISTOBAL,1210,La América,7341.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
CAMPO ALEGRE,1208,La América,6359.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
EL DANUBIO,1207,La América,6021.0,0.0,105.69,0.0,85.0,0.09086799276672694,200.0,0.1635623869801085,199.0,87
ELTESORO,1409,El Poblado,11032.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LA FLORIDA,1417,El Poblado,9441.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
ASTORGA,1420,El Poblado,619.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
ALEJANDRIA,1416,El Poblado,5503.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LOS BALSOS No.2,1415,El Poblado,6946.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LA AGUACATALA,1422,El Poblado,2249.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LOS NARANJOS,1410,El Poblado,6734.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
CASTROPOL,1404,El Poblado,10554.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LALINDE,1405,El Poblado,2832.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
COLOMBIA,1401,El Poblado,188.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
VILLA CARLOTA,1403,El Poblado,5096.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LAS LOMAS No.2,1407,El Poblado,2719.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
MANILA,1419,El Poblado,775.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
EL POBLADO,1418,El Poblado,389.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LAS LOMAS No.1,1406,El Poblado,3064.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
SANLUCAS,1412,El Poblado,9473.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
LOS BALSOS No.1,1411,El Poblado,11036.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
EL DIAMANTE No.2,1413,El Poblado,7571.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
EL CASTILLO,1414,El Poblado,2150.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
PATIO BONITO,1421,El Poblado,6366.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
SANTA MARIA DE LOS ANGELES,1423,El Poblado,7521.0,0.0,116.59,0.0,85.0,0.00874020494273656,213.0,0.015732368896925808,213.0,87
EL VELODROMO,1112,Laureles Estadio,5332.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
SURAMERICANA,1102,Laureles Estadio,3980.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
LA CASTELLANA,1110,Laureles Estadio,12811.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
LOS COLORES,1114,Laureles Estadio,13806.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
CUARTA BRIGADA,1115,Laureles Estadio,5130.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
ESTADIO,1113,Laureles Estadio,4861.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
CARLOS E. RESTREPO,1101,Laureles Estadio,3119.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
FLORIDA NUEVA,1117,Laureles Estadio,5765.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
LAS ACACIAS,1109,Laureles Estadio,5861.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
NARANJAL,1103,Laureles Estadio,2000.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
LORENA,1111,Laureles Estadio,9272.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
BOLIVARIANA,1107,Laureles Estadio,3925.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
SAN JOAQUÍN,1104,Laureles Estadio,7168.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
LAURELES,1108,Laureles Estadio,15329.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
CONQUISTADORES,1105,Laureles Estadio,9962.0,0.0,117.75,0.0,85.0,0.0,234.0,0.0,234.0,87
