comuna,imcv_ampi_2023
ALTAVISTA,96.08
ARANJUEZ,95.6
BELEN,104.58
BUENOS AIRES,101.5
CASTILLA,98.62
DOCE DE OCTUBRE,100.36
EL POBLADO,116.59
GUAYABAL,98.33
LA AMERICA,105.69
LA CANDELARIA,102.65
LAURELES ESTADIO,117.75
MANRIQUE,90.05
PALMITAS,96.8
POPULAR,84.57
ROBLEDO,99.75
SAN ANTONIO DE PRADO,99.13
SAN CRISTOBAL,97.96
SAN JAVIER,93.89
SANTA CRUZ,89.42
SANTA ELENA,87.32
VILLA HERMOSA,92.38
